,age,sex,class
0,0,1,0
1,0,0,0
2,0,0,0
3,0,1,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,1,0
10,0,1,0
11,0,0,0
12,0,0,0
13,0,1,0
14,0,0,0
15,0,1,0
16,0,1,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,1,0
21,0,0,0
22,0,1,0
23,0,1,0
24,0,1,0
25,0,1,0
26,0,1,0
27,0,0,0
28,0,0,0
29,0,1,0
30,0,0,0
31,0,1,0
32,0,0,0
33,0,0,0
34,0,1,0
35,0,0,0
36,0,1,0
37,0,1,0
38,0,1,0
39,0,0,0
40,0,0,0
41,0,1,0
42,0,0,0
43,0,1,0
44,0,0,0
45,0,1,0
46,0,1,0
47,0,1,0
48,0,1,0
49,0,1,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,1,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,1,0
60,0,1,0
61,0,1,0
62,0,1,0
63,0,1,0
64,0,0,0
65,0,0,0
66,0,1,0
67,0,1,0
68,0,1,0
69,0,1,0
70,0,0,0
71,0,1,0
72,0,0,0
73,0,0,0
74,0,1,0
75,0,0,0
76,0,0,0
77,0,1,0
78,0,1,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,1,0
83,0,0,0
84,0,1,0
85,0,0,0
86,0,0,0
87,0,1,0
88,0,0,0
89,0,1,0
90,0,0,0
91,0,1,0
92,0,1,0
93,0,0,0
94,0,1,0
95,0,1,0
96,0,0,0
97,0,1,0
98,0,1,0
99,1,1,1
100,2,1,1
101,1,0,1
102,1,1,1
103,1,0,1
104,1,1,1
105,1,1,1
106,1,1,1
107,2,0,1
108,1,0,1
109,2,0,1
110,1,0,1
111,1,0,1
112,2,1,1
113,2,1,1
114,2,0,1
115,2,0,1
116,1,0,1
117,1,0,1
118,2,0,1
119,2,0,1
120,1,1,1
121,2,0,1
122,1,1,1
123,1,0,1
124,1,1,1
125,1,1,1
126,2,1,1
127,2,1,1
128,2,1,1
129,1,1,1
130,1,1,1
131,1,0,1
132,2,1,1
133,1,0,1
134,1,1,1
135,2,1,1
136,1,0,1
137,1,0,1
138,2,0,1
139,1,1,1
